<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
157,Industry-Specific AI Applications,Cybersecurity,Security log summarization,"Deploy an AI capability for security log summarization in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, OpenTelemetry, Weaviate, Argo Workflows, scikit-learn","Elastic, Scale AI, Snowflake, NVIDIA, Cohere"
158,Industry-Specific AI Applications,Cybersecurity,Data loss prevention (DLP),"Deploy an AI capability for data loss prevention (dlp) in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"OpenTelemetry, LangChain, LlamaIndex, MLflow, KServe","Confluent, Google Cloud, Palantir, Scale AI, Microsoft Azure"
159,Industry-Specific AI Applications,Cybersecurity,Attack surface management,"Deploy an AI capability for attack surface management in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"PostgreSQL, Kafka, Rasa, Ray, LlamaIndex","Oracle, Elastic, Google Cloud, Cohere, NVIDIA"
160,Industry-Specific AI Applications,Cybersecurity,Incident postmortem generation,"Deploy an AI capability for incident postmortem generation in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LangChain, Kubeflow, LlamaIndex, Grafana, Ray","AWS, Cohere, Anthropic, Microsoft Azure, MongoDB Atlas"
161,Industry-Specific AI Applications,Construction,Project schedule risk prediction,"Deploy an AI capability for project schedule risk prediction in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Seldon, Trino, Kafka, OpenCV, PyTorch","DataRobot, Microsoft Azure, Cohere, Google Cloud, UiPath"
162,Industry-Specific AI Applications,Construction,Safety compliance analytics,"Deploy an AI capability for safety compliance analytics in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Trino, KServe, Seldon, spaCy, Haystack","Confluent, DataRobot, Microsoft Azure, Scale AI, NVIDIA"
163,Industry-Specific AI Applications,Construction,Material demand forecasting,"Deploy an AI capability for material demand forecasting in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"PostgreSQL, Trino, Kubeflow, scikit-learn, FAISS","Snowflake, Confluent, Palantir, UiPath, Zendesk"
164,Industry-Specific AI Applications,Construction,Change order classification,"Deploy an AI capability for change order classification in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, Prometheus, Grafana, LangChain, LlamaIndex","DataRobot, UiPath, Snowflake, Elastic, MongoDB Atlas"
165,Industry-Specific AI Applications,Construction,Equipment predictive maintenance,"Deploy an AI capability for equipment predictive maintenance in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"LlamaIndex, TensorFlow, Airflow, PostgreSQL, Prometheus","Microsoft Azure, Elastic, Palantir, Cohere, Salesforce"
166,Industry-Specific AI Applications,Construction,Site progress (vision),"Deploy an AI capability for site progress (vision) in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"PostgreSQL, PyTorch, Milvus, dbt, FAISS","Scale AI, Palantir, Twilio, IBM watsonx, AWS"
167,Industry-Specific AI Applications,Construction,Bid estimation assistance,"Deploy an AI capability for bid estimation assistance in construction workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"scikit-learn, Seldon, Kubeflow, Kafka, KServe","UiPath, Elastic, Twilio, Snowflake, MongoDB Atlas"
